codigo_canton,canton,ndvi_promedio
101,San José,3497.4228502641718
102,Escazú,5350.726570892916
103,Desamparados,6700.319913626107
104,Puriscal,7327.744745676126
105,Tarrazú,6883.206848168926
106,Aserrí,6841.017415025144
107,Mora,7379.446274898656
108,Goicoechea,5057.5287698662505
109,Santa Ana,6027.5112476861805
110,Alajuelita,5573.675497700141
111,Vázquez de Coronado,5344.080686234178
112,Acosta,7125.19070951754
113,Tibás,3393.252789570423
114,Moravia,5764.656956503409
115,Montes de Oca,4604.498182214237
116,Turrubares,7519.140295166214
117,Dota,6906.703114165132
118,Curridabat,4802.713783736494
119,Pérez Zeledón,6618.157482039913
120,León Cortés Castro,7135.34360742895
201,Alajuela,6277.2877904975985
202,San Ramón,6045.166551414029
203,Grecia,6814.841617548245
204,San Mateo,7428.843775642726
205,Atenas,7211.250523589988
206,Naranjo,6976.017788177307
207,Palmares,7202.8279106765685
208,Poás,6952.919907401045
209,Orotina,7213.297988181832
210,San Carlos,6735.154977995756
211,Zarcero,5518.7617279347505
212,Sarchí,5976.6911989513565
213,Upala,5909.093288646354
214,Los Chiles,6621.971039134708
215,Guatuso,6078.222484343185
216,Río Cuarto,6948.949604734812
301,Cartago,6519.262407194581
302,Paraíso,6906.548618144371
303,La Unión,6250.618529167771
304,Jiménez,6986.166988145214
305,Turrialba,7150.1023039194515
306,Alvarado,6311.358570498299
307,Oreamuno,5056.124216512034
308,El Guarco,7045.351807953643
401,Heredia,5779.795306082913
402,Barva,6546.506091814602
403,Santo Domingo,4720.278668119928
404,Santa Bárbara,6590.679072688349
405,San Rafael,6109.344889059602
406,San Isidro,6305.021807553691
407,Belén,4293.011770100289
408,Flores,4721.340572906035
409,San Pablo,4682.037897026016
410,Sarapiquí,7038.332034870988
501,Liberia,6793.859543913703
502,Nicoya,7047.996111100615
503,Santa Cruz,7108.574199378971
504,Bagaces,6621.778019046099
505,Carrillo,6508.124269261401
506,Cañas,6750.893957619503
507,Abangares,7086.478913001153
508,Tilarán,6165.276029771528
509,Nandayure,7345.044827412452
510,La Cruz,6611.597019545314
511,Hojancha,7336.007135406992
601,Puntarenas,7176.0217028569605
602,Esparza,7251.148502464388
603,Buenos Aires,7062.021493636589
604,Montes de Oro,6980.306156631829
605,Osa,7117.733428776094
606,Quepos,7520.408941758686
607,Golfito,7307.308030950899
608,Coto Brus,7171.342872363977
609,Parrita,7198.19058921874
610,Corredores,7614.394086724935
611,Garabito,7348.5402108707885
612,Monteverde,7091.3275752964355
613,Puerto Jiménez,6637.271417217607
701,Limón,7527.30392790966
702,Pococí,6663.3989536564795
703,Siquirres,7419.785167716615
704,Talamanca,7406.246980295384
705,Matina,7322.701844175801
706,Guácimo,7176.0784217580085
