codigo_canton,canton,temp_promedio
101,San José,26.744594157927708
102,Escazú,26.307540736538222
103,Desamparados,24.753831017774573
104,Puriscal,29.96433032539139
105,Tarrazú,26.33675885958804
106,Aserrí,25.569756455121762
107,Mora,28.505019284739667
108,Goicoechea,23.876620651609727
109,Santa Ana,26.92583259029665
110,Alajuelita,25.477486757646965
111,Vázquez de Coronado,24.736592482315853
112,Acosta,28.286572682059248
113,Tibás,26.451975349411804
114,Moravia,25.453043640268657
115,Montes de Oca,25.16789471921941
116,Turrubares,31.17348608654011
117,Dota,23.117470665913594
118,Curridabat,25.73408908504166
119,Pérez Zeledón,26.385289001350795
120,León Cortés Castro,24.385011184198103
201,Alajuela,27.24433102389335
202,San Ramón,28.367553860401284
203,Grecia,27.231894724649802
204,San Mateo,31.083447360892517
205,Atenas,29.440745599901728
206,Naranjo,26.979396457684047
207,Palmares,27.832757658550577
208,Poás,25.997740927972004
209,Orotina,32.83489840210802
210,San Carlos,31.78852386583458
211,Zarcero,25.43918839650942
212,Sarchí,25.191719770204436
213,Upala,32.22587845925207
214,Los Chiles,33.399275529045184
215,Guatuso,32.33430646785255
216,Río Cuarto,30.574715375522327
301,Cartago,23.65991293725688
302,Paraíso,23.2874692889002
303,La Unión,24.435911779277262
304,Jiménez,25.499226002249024
305,Turrialba,25.135813901867994
306,Alvarado,22.191479269723988
307,Oreamuno,24.04502031445896
308,El Guarco,22.994352753430572
401,Heredia,25.080488016190138
402,Barva,23.849260527696696
403,Santo Domingo,26.008764256164437
404,Santa Bárbara,24.571466246784382
405,San Rafael,24.423578233156487
406,San Isidro,25.105027897569926
407,Belén,27.657579372895427
408,Flores,27.02691036317594
409,San Pablo,25.908807299000227
410,Sarapiquí,31.567520810907343
501,Liberia,33.0747651453982
502,Nicoya,32.97829933424717
503,Santa Cruz,11.931120273484746
504,Bagaces,33.33915809681223
505,Carrillo,-47.64620696391102
506,Cañas,33.1498987420419
507,Abangares,32.691226387207706
508,Tilarán,29.71846248547564
509,Nandayure,-188.49706965475323
510,La Cruz,-26.834388841850703
511,Hojancha,-7.6130609484922935
601,Puntarenas,-169.8876138443119
602,Esparza,27.811895914800463
603,Buenos Aires,27.291346221704316
604,Montes de Oro,30.827737774680664
605,Osa,18.511509130524463
606,Quepos,-30.18797688342791
607,Golfito,-8.810351120527388
608,Coto Brus,25.657181966923886
609,Parrita,-13.398506128045113
610,Corredores,32.09312176677388
611,Garabito,-49.78145309527477
612,Monteverde,28.238783609014757
613,Puerto Jiménez,-327.98646879793006
701,Limón,5.392890811341889
702,Pococí,-18.11680820621484
703,Siquirres,30.65601037715647
704,Talamanca,6.086370133661162
705,Matina,-9.756150680331501
706,Guácimo,30.5006585291072
